X	Y	SchoolName	GradeStart	CountyName	OBJECTID	SchoolNCESCode	Co	AEA	DistrictNCESCode	District	DistrictName	School	SchoolLevel	POBox	MailingStreetAddress	MailingCity	State	ZipCode	PhysicalStreet	PhyscialCity	Administrator	Title	GradeEnd	Phone	Fax	EmailAddress
-94.58583688	41.52003619	Adair-Casey Jr-Sr High School	7	Guthrie	1	7	39	11	1903090	18	Adair-Casey Comm School District	172	1		3384 Indigo Ave	Adair	Iowa	50002	3384 Indigo Ave	Adair	Cynthia Jensen	Principal	12	(641) 746-2241	(641) 746-2243	ssmith@accs.k12.ia.us
-94.58583688	41.52003619	Adair-Casey Elementary School	PK	Guthrie	2	6	39	11	1903090	18	Adair-Casey Comm School District	409	4		3384 Indigo Ave.	Adair	Iowa	50002	3384 Indigo Ave.	Adair	Cynthia Jensen	Principal	6	(641) 746-2242	(641) 746-2243	cjensen@accs.k12.ia.us
-94.01665145	41.61019097	ADM Middle School	6	Dallas	3	1986	25	11	1903150	27	Adel DeSoto Minburn Comm School District	412	3		801 Nile Kinnick Dr. S.	Adel	Iowa	50003	801 Nile Kinnick Dr. S.	Adel	Kim Timmerman	Principal	8	(515) 993-3490	(515) 993-1956	ktimmerman@adm.k12.ia.us
-94.01665145	41.61019097	ADM Senior High School	9	Dallas	4	9	25	11	1903150	27	Adel DeSoto Minburn Comm School District	172	1		801 Nile Kinnick Dr S	Adel	Iowa	50003	801 Nile Kinnick Dr S	Adel	Lee Griebel	Principal	12	(515) 993-4584	(515) 993-3025	lgriebel@adm.k12.ia.us
-93.37285669	42.51773962	Alden Elementary School	PK	Hardin	5	1317	42	7	1900032	108	Alden Comm School District	409	4	P.O. Box 48	209 Center Street	Alden	Iowa	50006	209 Center Street	Alden	Kim Nelson	Principal	6	(515) 859-3394	(515) 859-3395	knelson@ifacadets.net
-93.61801945	42.05109705	Northwood Pre-School	PK	Story	6	1906	85	11	1903540	225	Ames Comm School District	961	4		3012 Duff Avenue	Ames	Iowa	50010	3012 Duff Avenue	Ames	Brandon Schrauth	Principal	K	(515) 268-2470	(515) 268-2475	brandon.schrauth@ames.k12.ia.us
-93.60018179	41.9904757	Mitchell Elementary School	K	Story	7	54	85	11	1903540	225	Ames Comm School District	456	4		3521 Jewel Dr	Ames	Iowa	50010	3521 Jewel Dr	Ames	Justin Jeffs	Principal	5	(515) 239-3775	(515) 239-3823	justin.jeffs@ames.k12.ia.us
-93.61432181	42.04196299	Meeker Elementary School	K	Story	8	56	85	11	1903540	225	Ames Comm School District	454	4		300 20th Street	Ames	Iowa	50010	300 20th Street	Ames	Steve Flynn	Principal	5	(515) 239-3770	(515) 239-3812	steve.flynn@ames.k12.ia.us
-93.63427765	42.04072079	Ames High School	9	Story	9	50	85	11	1903540	225	Ames Comm School District	109	1		1921 Ames High Drive	Ames	Iowa	50010	1921 Ames High Drive	Ames	Spence Evans	Principal	12	(515) 817-0600	(515) 817-0627	spence.evans@ames.k12.ia.us
-93.67348256	42.01296058	Ames Middle School	6	Story	10	60	85	11	1903540	225	Ames Comm School District	218	3		3915 Mortensen Road	Ames	Iowa	50014	3915 Mortensen Road	Ames	Pam Stangeland	Principal	8	(515) 268-2400	(515) 268-2400	pam.stangeland@ames.k12.ia.us
