Longitude,Latitude,ID,Value,XCOORD,YCOORD
-92.097828376919395,43.090490221104517,0,49,-92.097828,43.090490
-92.255599602523461,40.689221348083876,1,52,-92.255600,40.689221
-96.203222425707011,42.997123889555972,2,53,-96.203222,42.997124
-94.309959630051779,42.703406811293938,3,52,-94.309960,42.703407
-95.368076625932147,41.359974243294353,4,54,-95.368077,41.359974
-91.235739787751058,41.834311674417165,5,49,-91.235740,41.834312
-95.58362910327962,41.497143097033948,6,54,-95.583629,41.497143
-90.378982449692899,42.054038167445405,7,48,-90.378982,42.054038
-93.949734882140632,42.38349578161732,8,52,-93.949735,42.383496
-92.627561946727468,42.657544145557452,9,50,-92.627562,42.657544
-92.957799355574423,43.098792897988062,10,50,-92.957799,43.098793
-92.761781734343643,41.933353593795125,11,51,-92.761782,41.933354
-94.922981648413398,41.267948766897447,12,54,-94.922982,41.267949
-92.037023533634979,42.582102826492111,13,49,-92.037024,42.582103
-94.142537869313884,41.94720147395423,14,52,-94.142538,41.947201
-94.465950474304165,43.276937334246362,15,51,-94.465950,43.276937
-94.106054441482812,40.772862896360174,16,53,-94.106054,40.772863
-93.086237314623091,40.665365721994469,17,52,-93.086237,40.665366
-95.303974101639128,41.98767625800663,18,53,-95.303974,41.987676
-93.835787535563171,43.451263182366191,19,50,-93.835788,43.451263
-90.179343991156983,41.857267353426771,20,48,-90.179344,41.857267
-92.356841696458901,41.563442955350247,21,51,-92.356842,41.563443
-95.81044273820244,41.472565178200121,22,54,-95.810443,41.472565
-92.962479343044777,41.224429218385332,23,52,-92.962479,41.224429
-96.46639913729615,42.858103744392302,24,54,-96.466399,42.858104
-91.4046501483257,40.922550987235809,25,50,-91.404650,40.922551
-93.188127922435072,41.151395411651244,26,52,-93.188128,41.151395
-94.508543902716511,42.673000110759077,27,52,-94.508544,42.673000
-91.505206922167943,40.985131309438557,28,51,-91.505207,40.985131
-96.104283602316301,43.057512528238831,29,53,-96.104284,43.057513
-93.292416585186501,43.380055483266133,30,50,-93.292417,43.380055
-94.623946380625625,40.932275930253731,31,54,-94.623946,40.932276
